Name,Time,Day,Subject
LESLIE,10:06:17,Tuesday,Maths
LESLIE,10:36:53,Wednesday,Maths
SARAT,10:37:09,Wednesday,Maths
ABDUL KALAM,10:37:14,Wednesday,Maths
ELON MUSK,10:37:36,Wednesday,Maths
JEFF BEZOS,10:37:42,Wednesday,Maths
KARMUHILAN,10:37:52,Wednesday,Maths
LESLIE,11:08:42,Monday,Maths
LESLIE,14:22:24,Monday,English
SARAT,14:22:29,Monday,English
LESLIE,17:03:04,Tuesday,English
SARAT,17:03:08,Tuesday,English
KARMUHILAN,17:03:12,Tuesday,English
